,away,home,date
0,Colorado Rockies,Arizona D'Backs,2018-03-29
1,Philadelphia Phillies,Atlanta Braves,2018-03-29
2,Minnesota Twins,Baltimore Orioles,2018-03-29
3,Chicago White Sox,Kansas City Royals,2018-03-29
4,San Francisco Giants,Los Angeles Dodgers,2018-03-29
5,Chicago Cubs,Miami Marlins,2018-03-29
6,St. Louis Cardinals,New York Mets,2018-03-29
7,Los Angeles Angels,Oakland Athletics,2018-03-29
8,Milwaukee Brewers,San Diego Padres,2018-03-29
9,Cleveland Indians,Seattle Mariners,2018-03-29
10,Boston Red Sox,Tampa Bay Rays,2018-03-29
11,Houston Astros,Texas Rangers,2018-03-29
12,New York Yankees,Toronto Blue Jays,2018-03-29
0,Colorado Rockies,Arizona D'Backs,2018-03-30
1,Philadelphia Phillies,Atlanta Braves,2018-03-30
2,Washington Nationals,Cincinnati Reds,2018-03-30
3,Pittsburgh Pirates,Detroit Tigers,2018-03-30
4,San Francisco Giants,Los Angeles Dodgers,2018-03-30
5,Chicago Cubs,Miami Marlins,2018-03-30
6,Los Angeles Angels,Oakland Athletics,2018-03-30
7,Milwaukee Brewers,San Diego Padres,2018-03-30
8,Boston Red Sox,Tampa Bay Rays,2018-03-30
9,Houston Astros,Texas Rangers,2018-03-30
10,New York Yankees,Toronto Blue Jays,2018-03-30
0,Colorado Rockies,Arizona D'Backs,2018-03-31
1,Philadelphia Phillies,Atlanta Braves,2018-03-31
2,Minnesota Twins,Baltimore Orioles,2018-03-31
3,Washington Nationals,Cincinnati Reds,2018-03-31
4,Chicago White Sox,Kansas City Royals,2018-03-31
5,San Francisco Giants,Los Angeles Dodgers,2018-03-31
6,Chicago Cubs,Miami Marlins,2018-03-31
7,St. Louis Cardinals,New York Mets,2018-03-31
8,Los Angeles Angels,Oakland Athletics,2018-03-31
9,Milwaukee Brewers,San Diego Padres,2018-03-31
10,Cleveland Indians,Seattle Mariners,2018-03-31
11,Boston Red Sox,Tampa Bay Rays,2018-03-31
12,Houston Astros,Texas Rangers,2018-03-31
13,New York Yankees,Toronto Blue Jays,2018-03-31
0,Minnesota Twins,Baltimore Orioles,2018-04-01
1,Washington Nationals,Cincinnati Reds,2018-04-01
2,Pittsburgh Pirates,Detroit Tigers,2018-04-01
3,Pittsburgh Pirates,Detroit Tigers,2018-04-01
4,San Francisco Giants,Los Angeles Dodgers,2018-04-01
5,Chicago Cubs,Miami Marlins,2018-04-01
6,St. Louis Cardinals,New York Mets,2018-04-01
7,Los Angeles Angels,Oakland Athletics,2018-04-01
8,Cleveland Indians,Seattle Mariners,2018-04-01
9,Boston Red Sox,Tampa Bay Rays,2018-04-01
10,Houston Astros,Texas Rangers,2018-04-01
11,New York Yankees,Toronto Blue Jays,2018-04-01
0,Cleveland Indians,Los Angeles Angels,2018-04-02
1,Los Angeles Dodgers,Arizona D'Backs,2018-04-02
