Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Jacob deGrom (11236878),Jacob deGrom,11236878,P,13500,Postponed,NYM,26.28
SP,Trevor Bauer (11236880),Trevor Bauer,11236880,P,12500,CLE@TB 09/10/2018 07:10PM ET,CLE,26.14
SP,Max Scherzer (11236879),Max Scherzer,11236879,P,12500,WAS@PHI 09/10/2018 07:05PM ET,WAS,26.75
SP,Blake Snell (11236881),Blake Snell,11236881,P,12400,CLE@TB 09/10/2018 07:10PM ET,TB,23.33
SP,Luis Severino (11236882),Luis Severino,11236882,P,11900,NYY@MIN 09/10/2018 08:10PM ET,NYY,20.99
SP,Mike Clevinger (11236883),Mike Clevinger,11236883,P,11800,CLE@TB 09/10/2018 07:10PM ET,CLE,20.06
SP,Aaron Nola (11236884),Aaron Nola,11236884,P,11800,WAS@PHI 09/10/2018 07:05PM ET,PHI,23.18
SP,Carlos Carrasco (11236885),Carlos Carrasco,11236885,P,11600,CLE@TB 09/10/2018 07:10PM ET,CLE,21.63
SP,Corey Kluber (11236240),Corey Kluber,11236240,P,11100,CLE@TB 09/10/2018 07:10PM ET,CLE,22.95
SP,Patrick Corbin (11236886),Patrick Corbin,11236886,P,11000,ARI@COL 09/10/2018 08:40PM ET,ARI,23.04
SP,Robbie Ray (11236887),Robbie Ray,11236887,P,11000,ARI@COL 09/10/2018 08:40PM ET,ARI,16.26
SP,Jack Flaherty (11236888),Jack Flaherty,11236888,P,10800,PIT@STL 09/10/2018 08:15PM ET,STL,18.20
SP,Zack Wheeler (11236889),Zack Wheeler,11236889,P,10400,Postponed,NYM,18.74
SP,Noah Syndergaard (11236890),Noah Syndergaard,11236890,P,10200,Postponed,NYM,18.98
SP,Jameson Taillon (11236891),Jameson Taillon,11236891,P,9900,PIT@STL 09/10/2018 08:15PM ET,PIT,17.20
SP,Freddy Peralta (11236892),Freddy Peralta,11236892,P,9700,MIL@CHC 09/10/2018 08:05PM ET,MIL,17.60
SP,Masahiro Tanaka (11236893),Masahiro Tanaka,11236893,P,9400,NYY@MIN 09/10/2018 08:10PM ET,NYY,18.58
SP,Cole Hamels (11236894),Cole Hamels,11236894,P,9300,MIL@CHC 09/10/2018 08:05PM ET,CHC,16.53
SP,J.A. Happ (11236241),J.A. Happ,11236241,P,9300,NYY@MIN 09/10/2018 08:10PM ET,NYY,18.65
SP,Madison Bumgarner (11236895),Madison Bumgarner,11236895,P,9200,ATL@SF 09/10/2018 10:15PM ET,SF,16.45
SP,Zack Greinke (11236896),Zack Greinke,11236896,P,9100,ARI@COL 09/10/2018 08:40PM ET,ARI,19.24
SP,Trevor Williams (11236897),Trevor Williams,11236897,P,9000,PIT@STL 09/10/2018 08:15PM ET,PIT,14.08
SP,German Marquez (11236242),German Marquez,11236242,P,9000,ARI@COL 09/10/2018 08:40PM ET,COL,18.13
SP,Michael Kopech (11236898),Michael Kopech,11236898,P,9000,CWS@KC 09/10/2018 08:15PM ET,CWS,8.51
SP,Dereck Rodriguez (11236243),Dereck Rodriguez,11236243,P,8700,ATL@SF 09/10/2018 10:15PM ET,SF,16.56
SP,Yu Darvish (11236900),Yu Darvish,11236900,P,8600,MIL@CHC 09/10/2018 08:05PM ET,CHC,13.92
SP,Jimmy Nelson (11236902),Jimmy Nelson,11236902,P,8600,MIL@CHC 09/10/2018 08:05PM ET,MIL,0
SP,Clay Buchholz (11236899),Clay Buchholz,11236899,P,8600,ARI@COL 09/10/2018 08:40PM ET,ARI,19.17
SP,Stephen Strasburg (11236901),Stephen Strasburg,11236901,P,8600,WAS@PHI 09/10/2018 07:05PM ET,WAS,18.88
SP,Jakob Junis (11236244),Jakob Junis,11236244,P,8500,CWS@KC 09/10/2018 08:15PM ET,KC,15.34
SP,Mike Foltynewicz (11236903),Mike Foltynewicz,11236903,P,8500,ATL@SF 09/10/2018 10:15PM ET,ATL,20.45
SP,Danny Salazar (11236904),Danny Salazar,11236904,P,8400,CLE@TB 09/10/2018 07:10PM ET,CLE,0
SP,Joe Musgrove (11236245),Joe Musgrove,11236245,P,8400,PIT@STL 09/10/2018 08:15PM ET,PIT,14.95
SP,Andrew Heaney (11236905),Andrew Heaney,11236905,P,8400,TEX@LAA 09/10/2018 10:07PM ET,LAA,17.36
SP,Carlos Rodon (11236908),Carlos Rodon,11236908,P,8300,CWS@KC 09/10/2018 08:15PM ET,CWS,16.97
SP,CC Sabathia (11236906),CC Sabathia,11236906,P,8300,NYY@MIN 09/10/2018 08:10PM ET,NYY,14.32
SP,Vince Velasquez (11236907),Vince Velasquez,11236907,P,8300,WAS@PHI 09/10/2018 07:05PM ET,PHI,14.09
SP,Miles Mikolas (11236910),Miles Mikolas,11236910,P,8200,PIT@STL 09/10/2018 08:15PM ET,STL,15.00
SP,Mike Minor (11236246),Mike Minor,11236246,P,8200,TEX@LAA 09/10/2018 10:07PM ET,TEX,14.58
SP,Tyler Skaggs (11236909),Tyler Skaggs,11236909,P,8200,TEX@LAA 09/10/2018 10:07PM ET,LAA,16.59
SP,Jordan Montgomery (11236912),Jordan Montgomery,11236912,P,8200,NYY@MIN 09/10/2018 08:10PM ET,NYY,11.88
SP,Nick Pivetta (11236911),Nick Pivetta,11236911,P,8200,WAS@PHI 09/10/2018 07:05PM ET,PHI,14.40
SP,Michael Wacha (11236914),Michael Wacha,11236914,P,8100,PIT@STL 09/10/2018 08:15PM ET,STL,16.01
SP,Johnny Cueto (11236913),Johnny Cueto,11236913,P,8100,ATL@SF 09/10/2018 10:15PM ET,SF,14.54
SP,Kyle Gibson (11236247),Kyle Gibson,11236247,P,8100,NYY@MIN 09/10/2018 08:10PM ET,MIN,16.13
SP,Jhoulys Chacin (11236915),Jhoulys Chacin,11236915,P,8000,MIL@CHC 09/10/2018 08:05PM ET,MIL,14.53
SP,Shane Bieber (11236918),Shane Bieber,11236918,P,8000,CLE@TB 09/10/2018 07:10PM ET,CLE,16.12
SP,John Gant (11236916),John Gant,11236916,P,8000,PIT@STL 09/10/2018 08:15PM ET,STL,11.36
SP,Jose Berrios (11236917),Jose Berrios,11236917,P,8000,NYY@MIN 09/10/2018 08:10PM ET,MIN,17.94
SP,Carlos Martinez (11236919),Carlos Martinez,11236919,P,7900,PIT@STL 09/10/2018 08:15PM ET,STL,11.58
SP,Kevin Gausman (11236920),Kevin Gausman,11236920,P,7900,ATL@SF 09/10/2018 10:15PM ET,ATL,13.86
SP,Jon Lester (11236248),Jon Lester,11236248,P,7800,MIL@CHC 09/10/2018 08:05PM ET,CHC,13.82
SP,Jonathan Loaisiga (11236921),Jonathan Loaisiga,11236921,P,7800,NYY@MIN 09/10/2018 08:10PM ET,NYY,15.32
SP,Jose Quintana (11236922),Jose Quintana,11236922,P,7700,MIL@CHC 09/10/2018 08:05PM ET,CHC,14.06
