,ftm,home,opponent,Age_x,#days_x,BA,OBP,SLG,OPS,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,throws,bats,opp_hand,VAL
0,Chicago White Sox,1,Kansas City Royals,31.0,4.0,0.272,0.331,0.491,0.821,5.25,0.0,113.0,437.0,62%,15%,11%,46%,29%,1%,1.7080000000000002,0.355,8.3,2.0,R,R,False,11.0
1,Tampa Bay Rays,1,Los Angeles Angels,22.0,0.0,0.261,0.324,0.418,0.742,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,R,False,21.0
2,Tampa Bay Rays,1,Los Angeles Angels,22.0,0.0,0.261,0.324,0.418,0.742,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,R,False,21.0
3,Washington Nationals,1,New York Mets,29.0,0.0,0.256,0.331,0.508,0.8390000000000001,3.38,2.0,452.0,1704.0,65%,15%,14%,50%,26%,5%,1.238,0.34299999999999997,9.4,5.05,R,L,True,2.0
4,Detroit Tigers,1,Cincinnati Reds,33.0,0.0,0.284,0.32,0.42100000000000004,0.741,5.46,0.0,573.0,2139.0,63%,17%,8%,46%,25%,6%,1.4609999999999999,0.29,6.5,1.9,R,L,True,19.0
5,Minnesota Twins,1,Cleveland Indians,28.0,1.0,0.25,0.308,0.381,0.6890000000000001,2.56,1.0,246.0,985.0,65%,22%,13%,47%,28%,5%,1.056,0.289,12.7,4.2,L,S,True,0.0
6,Milwaukee Brewers,0,Los Angeles Dodgers,28.0,0.0,0.27899999999999997,0.363,0.562,0.925,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,11.0
7,Chicago Cubs,0,Pittsburgh Pirates,24.0,0.0,0.301,0.342,0.41200000000000003,0.754,2.95,1.0,225.0,908.0,66%,17%,13%,35%,24%,7%,1.182,0.32799999999999996,10.8,4.13,R,,True,0.0
8,Cleveland Indians,0,Minnesota Twins,31.0,0.0,0.248,0.312,0.446,0.758,2.66,0.0,217.0,902.0,62%,18%,12%,43%,27%,9%,1.2830000000000001,0.303,10.1,2.85,R,L,True,0.0
9,Milwaukee Brewers,0,Los Angeles Dodgers,30.0,4.0,0.105,0.105,0.105,0.21100000000000002,2.72,0.0,227.0,895.0,68%,16%,14%,37%,25%,13%,0.976,0.22699999999999998,10.1,4.5,R,R,False,0.0
10,Chicago White Sox,1,Kansas City Royals,25.0,0.0,0.245,0.29,0.41600000000000004,0.706,5.25,0.0,113.0,437.0,62%,15%,11%,46%,29%,1%,1.7080000000000002,0.355,8.3,2.0,R,R,False,8.0
11,New York Yankees,1,Baltimore Orioles,23.0,0.0,0.297,0.32799999999999996,0.521,0.8490000000000001,5.15,0.0,298.0,1213.0,63%,17%,8%,35%,33%,9%,1.639,0.35100000000000003,7.7,2.12,R,R,False,8.0
12,Los Angeles Angels,0,Tampa Bay Rays,28.0,0.0,0.31,0.341,0.595,0.9359999999999999,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,L,True,3.0
13,Los Angeles Angels,0,Tampa Bay Rays,28.0,0.0,0.31,0.341,0.595,0.9359999999999999,2.58,0.0,208.0,861.0,63%,13%,15%,32%,22%,13%,1.051,0.239,11.0,3.05,R,L,True,3.0
14,Colorado Rockies,0,St. Louis Cardinals,27.0,0.0,0.309,0.39,0.578,0.968,4.65,0.0,559.0,2192.0,64%,17%,10%,42%,28%,8%,1.4180000000000001,0.321,8.0,2.57,R,R,False,14.0
15,St. Louis Cardinals,1,Colorado Rockies,24.0,0.0,0.27899999999999997,0.35200000000000004,0.441,0.7929999999999999,6.42,0.0,228.0,922.0,60%,14%,12%,50%,26%,4%,1.867,0.389,9.3,1.96,R,R,False,20.0
16,Chicago Cubs,0,Pittsburgh Pirates,25.0,0.0,0.295,0.327,0.573,0.9,2.95,1.0,225.0,908.0,66%,17%,13%,35%,24%,7%,1.182,0.32799999999999996,10.8,4.13,R,R,False,18.0
17,Oakland Athletics,1,Toronto Blue Jays,22.0,21.0,0.24600000000000002,0.27,0.508,0.778,3.72,3.0,228.0,880.0,63%,13%,14%,44%,21%,9%,1.24,0.31,9.2,3.17,R,R,False,26.0
18,Tampa Bay Rays,1,Los Angeles Angels,22.0,0.0,0.209,0.327,0.406,0.733,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,L,True,20.0
19,Tampa Bay Rays,1,Los Angeles Angels,22.0,0.0,0.209,0.327,0.406,0.733,4.74,0.0,316.0,1179.0,61%,17%,12%,38%,26%,9%,1.3030000000000002,0.256,7.6,2.06,R,L,True,20.0
20,New York Mets,0,Washington Nationals,37.0,0.0,0.204,0.34700000000000003,0.37799999999999995,0.725,5.81,1.0,118.0,418.0,68%,17%,11%,28%,26%,9%,1.443,0.35700000000000004,7.9,23.0,,R,True,2.0
21,Baltimore Orioles,0,New York Yankees,28.0,0.0,0.221,0.281,0.35,0.631,4.84,1.0,579.0,2451.0,60%,13%,10%,51%,25%,6%,1.574,0.33299999999999996,9.3,1.9,R,R,False,7.0
22,Los Angeles Dodgers,1,Milwaukee Brewers,22.0,0.0,0.26,0.344,0.467,0.8109999999999999,5.08,0.0,166.0,733.0,63%,18%,12%,53%,21%,3%,1.3330000000000002,0.313,12.7,2.89,R,L,True,11.0
23,New York Yankees,1,Baltimore Orioles,25.0,2.0,0.20199999999999999,0.292,0.397,0.6890000000000001,5.15,0.0,298.0,1213.0,63%,17%,8%,35%,33%,9%,1.639,0.35100000000000003,7.7,2.12,R,L,True,5.0
24,Colorado Rockies,0,St. Louis Cardinals,31.0,0.0,0.278,0.345,0.479,0.8240000000000001,4.65,0.0,559.0,2192.0,64%,17%,10%,42%,28%,8%,1.4180000000000001,0.321,8.0,2.57,R,L,True,4.0
